name,provider,rocket,status,launch_time,pad,mission_type,year,month,day,day_of_week,hour,provider_id,rocket_id,mission_type_id,pad_id
Sputnik 8K71PS | Sputnik-1,RVSN USSR,Sputnik 8K71PS,Launch Successful,1957-10-04 19:28:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1957,10,4,Friday,19,40,282,7,83
Mercury-Redstone | Mercury-Redstone 1 (MR-1),NASA,Mercury-Redstone,Launch Failure,1960-11-21 14:00:00+00:00,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,1960,11,21,Monday,14,35,189,7,36
Thor DM-19 Delta | TIROS-2,US Air Force,Thor DM-19 Delta,Launch Successful,1960-11-23 11:13:00+00:00,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,1960,11,23,Wednesday,11,48,291,7,57
Thor-DM21 Ablestar | Transit 3A & GRAB-2,US Air Force,Thor-DM21 Ablestar,Launch Failure,1960-11-30 19:50:00+00:00,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,1960,11,30,Wednesday,19,48,296,7,58
Vostok | Korabl-Sputnik 3,RVSN USSR,Vostok,Launch Successful,1960-12-01 07:30:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1960,12,1,Thursday,7,40,331,7,83
Scout X-1 | Explorer (S-56),NASA,Scout X-1,Launch Failure,1960-12-04 21:14:00+00:00,"LA-3, Wallops Flight Facility, Virginia, USA",Unknown,1960,12,4,Sunday,21,35,247,7,15
Thor DM-21 Agena-B | Discoverer 18,US Air Force,Thor DM-21 Agena-B,Launch Successful,1960-12-07 20:20:00+00:00,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,1960,12,7,Wednesday,20,48,292,7,60
Atlas-D Able | Pioneer P-31,General Dynamics,Atlas-D Able,Launch Failure,1960-12-15 09:10:00+00:00,"LC-12, Cape Canaveral AFS, Florida, USA",Unknown,1960,12,15,Thursday,9,17,42,7,22
Mercury-Redstone | Mercury-Redstone 1A (MR-1A),NASA,Mercury-Redstone,Launch Successful,1960-12-19 16:15:00+00:00,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,1960,12,19,Monday,16,35,189,7,36
Thor DM-21 Agena-B | Discoverer 19,US Air Force,Thor DM-21 Agena-B,Launch Successful,1960-12-20 20:32:00+00:00,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,1960,12,20,Tuesday,20,48,292,7,59
Vostok | 1K n†­5 (Korabl-Sputnik 3),RVSN USSR,Vostok,Launch Failure,1960-12-22 07:45:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1960,12,22,Thursday,7,40,331,7,83
Mercury-Redstone | Mercury-Redstone 2 (MR-2),NASA,Mercury-Redstone,Launch Successful,1961-01-31 16:55:00+00:00,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,1961,1,31,Tuesday,16,35,189,7,36
Atlas-LV3 Agena-A | Samos 2,General Dynamics,Atlas-LV3 Agena-A,Launch Successful,1961-01-31 20:21:00+00:00,"SLC-3W, Vandenberg AFB, California, USA",Unknown,1961,1,31,Tuesday,20,17,58,7,68
Molniya | 1VA n†­1 (Venera 1),RVSN USSR,Molniya,Launch Failure,1961-02-04 01:18:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1961,2,4,Saturday,1,40,194,7,83
Molniya | Venera 1,RVSN USSR,Molniya,Launch Successful,1961-02-12 00:34:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1961,2,12,Sunday,0,40,194,7,83
Scout X-1 | Explorer 9 (S-56A),NASA,Scout X-1,Launch Successful,1961-02-16 13:05:00+00:00,"LA-3, Wallops Flight Facility, Virginia, USA",Unknown,1961,2,16,Thursday,13,35,247,7,15
Thor DM-21 Agena-B | Discoverer 20,US Air Force,Thor DM-21 Agena-B,Launch Successful,1961-02-17 20:25:00+00:00,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,1961,2,17,Friday,20,48,292,7,60
Thor DM-21 Agena-B | Discoverer 21,US Air Force,Thor DM-21 Agena-B,Launch Successful,1961-02-18 22:58:00+00:00,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,1961,2,18,Saturday,22,48,292,7,59
Atlas-D Mercury | Mercury-Atlas 2 (MA-2),NASA,Atlas-D Mercury,Launch Successful,1961-02-21 14:12:00+00:00,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,1961,2,21,Tuesday,14,35,43,7,24
Thor-DM21 Ablestar | Transit 3B & Lofti 1,US Air Force,Thor-DM21 Ablestar,Launch Successful,1961-02-22 03:45:00+00:00,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,1961,2,22,Wednesday,3,48,296,7,58
Vostok | Korabl-Sputnik 4,RVSN USSR,Vostok,Launch Successful,1961-03-09 06:29:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1961,3,9,Thursday,6,40,331,7,83
Mercury-Redstone | Mercury-Redstone BD (MR-BD),NASA,Mercury-Redstone,Launch Successful,1961-03-24 17:30:00+00:00,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,1961,3,24,Friday,17,35,189,7,36
Vostok | Korabl-Sputnik 5,RVSN USSR,Vostok,Launch Successful,1961-03-25 05:54:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1961,3,25,Saturday,5,40,331,7,83
Thor DM-19 Delta | Explorer 10,US Air Force,Thor DM-19 Delta,Launch Successful,1961-03-25 15:17:00+00:00,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,1961,3,25,Saturday,15,48,291,7,57
Thor DM-21 Agena-B | Discoverer 22,US Air Force,Thor DM-21 Agena-B,Launch Failure,1961-03-30 20:34:00+00:00,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,1961,3,30,Thursday,20,48,292,7,60
Thor DM-21 Agena-B | Discoverer 23,US Air Force,Thor DM-21 Agena-B,Launch Successful,1961-04-08 19:21:00+00:00,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,1961,4,8,Saturday,19,48,292,7,59
Vostok | Vostok 1,RVSN USSR,Vostok,Launch Successful,1961-04-12 06:07:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1961,4,12,Wednesday,6,40,331,7,83
Atlas-D Mercury | Mercury-Atlas 3 (MA-3),NASA,Atlas-D Mercury,Launch Failure,1961-04-25 16:15:00+00:00,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,1961,4,25,Tuesday,16,35,43,7,24
Mercury-Redstone | Freedom 7 (MR-3),NASA,Mercury-Redstone,Launch Successful,1961-05-05 14:34:00+00:00,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,1961,5,5,Friday,14,35,189,7,36
Thor DM-21 Agena-B | Discoverer 24,US Air Force,Thor DM-21 Agena-B,Launch Failure,1961-06-08 21:16:00+00:00,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,1961,6,8,Thursday,21,48,292,7,60
Thor DM-21 Agena-B | Discoverer 25,US Air Force,Thor DM-21 Agena-B,Launch Successful,1961-06-16 23:02:00+00:00,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",Unknown,1961,6,16,Friday,23,48,292,7,62
"Thor-DM21 Ablestar | Transit 4A, Injun 1 & GRAB-3",US Air Force,Thor-DM21 Ablestar,Launch Successful,1961-06-29 04:22:00+00:00,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,1961,6,29,Thursday,4,48,296,7,58
Scout X-1 | Explorer (S-55),NASA,Scout X-1,Launch Failure,1961-06-30 17:09:00+00:00,"LA-3, Wallops Flight Facility, Virginia, USA",Unknown,1961,6,30,Friday,17,35,247,7,15
